Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
04/09/2022,Ext Credit Card Debit AMZN MKTP,Ext Credit Card Debit AMZN MKTP,10.94,debit,Shopping,Mastercard Secure,,
04/09/2022,Ext Credit Card Debit AMZN MKTP,Ext Credit Card Debit AMZN MKTP,28.84,debit,Shopping,Mastercard Secure,,
04/09/2022,Ext Credit Card Debit AMZN MKTP,Ext Credit Card Debit AMZN MKTP,79.91,debit,Shopping,Mastercard Secure,,
04/08/2022,Transfer To JPMORGAN CHASE,Transfer To JPMORGAN CHASE,287.81,debit,Transfer,Venmo,,
04/08/2022,Palo santo,Palo santo,10,debit,Restaurants,Venmo,,
04/08/2022,HARBOR FREIGHT TOOLS LOS ANGELES,HARBOR FREIGHT TOOLS LOS ANGELES,160.71,debit,Home Improvement,BUS COMPLETE CHK,,
04/08/2022,ATM WITHDRAWAL 001162 04/083738 CREN,ATM WITHDRAWAL,100,debit,Cash & ATM,BUS COMPLETE CHK,,
04/08/2022,REAL TIME TRANSFER RECD FROM ABA,REAL TIME TRANSFER RECD FROM ABA,287.81,credit,Transfer,TOTAL CHECKING,,
04/08/2022,Payment received. Thank you!,Payment received. Thank y ou!,20,credit,Credit Card Payment,Visa Business Card,,
04/08/2022,CRAIGSLIST.ORG,CRAIGSLIST.ORG,5,debit,Advertising,Visa Business Card,,
04/08/2022,ELECTRONIC PAYMENT,ELECTRONIC PAYMENT,15,credit,Credit Card Payment,Visa Business Card,,
04/07/2022,4/7 delivery,4/7 delivery,80,credit,Income,Venmo,,
04/07/2022,Moving,Moving,90,credit,Income,Venmo,,
04/07/2022,CRAIGSLIST.ORG,CRAIGSLIST.ORG,5,debit,Advertising,Visa Business Card,,
04/07/2022,Online Payment 13826079104 To CR,Online Payment 13826079104 To CR,25,debit,Credit Card Payment,TOTAL CHECKING,,
04/07/2022,Online Payment 13826079124 To CA,Online Payment 13826079124 To CA,15,debit,Restaurants,TOTAL CHECKING,,
04/07/2022,Online Payment 13826079697 To FI,Online Payment 13826079697 To FI,25,debit,Utilities,TOTAL CHECKING,,
04/07/2022,Fi,Online Payment 13826079114 To Fi,25,debit,Uncategorized,TOTAL CHECKING,,
04/06/2022,PAYMENT - THANK YOU; ,PAYMENT - THANK YOU; ,25,credit,Credit Card Payment,OpenSky Secured Card ending in 4855,,
04/05/2022,Couch,Couch,80,credit,Income,Venmo,,
04/05/2022,Curri Inc. VISA DIRECT CA,Curri Inc. VISA DIRECT CA,175,credit,Income,BUS COMPLETE CHK,,
04/05/2022,Ext Credit Card Debit LINODECOM,Ext Credit Card Debit LINODECOM,10.4,debit,Business Services,Mastercard Secure,,
04/04/2022,PAST DUE FEE,PAST DUE FEE,39,debit,Late Fee,Visa Business Card,,
04/04/2022,CHEVRON 0091400,CHEVRON 0091400,124.69,debit,Gas & Fuel,Visa Business Card,,
04/04/2022,RAMONAS MEXICAN DELI 4 LOS ANGEL,RAMONAS MEXICAN DELI 4 LOS ANGEL,9.14,debit,Restaurants,TOTAL CHECKING,,
04/04/2022,ARCO #42626 AMPM SANTA MONICA CA,ARCO #42626 AMPM SANTA MONICA CA,30.35,debit,Gas & Fuel,TOTAL CHECKING,,
04/04/2022,Cash App Cutthechec,CASH APP*CUTTHECHEC 8774174551 C,100,debit,Sub Contractor,TOTAL CHECKING,,
04/01/2022,FACEBK ZNDFNDBDK2,FACEBK ZNDFNDBDK2,65.13,debit,Advertising,Visa Business Card,,
04/01/2022,SHELL OIL XXXXXXXXXX,SHELL OIL XXXXXXXXXX,75.9,debit,Gas & Fuel,CREDITCARD Account,,
04/01/2022,BUDGET TRK NO SHOW,BUDGET TRK NO SHOW,75,debit,Rental Car & Taxi,CREDITCARD Account,,
04/01/2022,SHELL OIL XXXXXXXXXX,SHELL OIL XXXXXXXXXX,4.97,debit,Gas & Fuel,CREDITCARD Account,,
04/01/2022,Online Payment 13774383356 To op,Online Payment 13774383356 To op,25,debit,Utilities,TOTAL CHECKING,,
04/01/2022,VENMO            PAYMENT    1019,VENMO            PAYMENT    1019,80,debit,Transfer,TOTAL CHECKING,,
04/01/2022,RIGHT CHOICE CARRIBEAN LOS ANGEL,RIGHT CHOICE CARRIBEAN LOS ANGEL,21.93,debit,Restaurants,TOTAL CHECKING,,
04/01/2022,Fpb Cr Telephone,FPB CR CARD      TELEPHONE     C,115.96,debit,Home Phone,TOTAL CHECKING,,
04/01/2022,Malin Asset Mana RESIDENT    250,Malin Asset Mana RESIDENT    250,1631.56,debit,Mortgage & Rent,TOTAL CHECKING,,
04/01/2022,ATM CHECK DEPOSIT 04/01 3738 CRE,ATM CHECK DEPOSIT 04/01 3738 CRE,73,credit,Transfer,BUS COMPLETE CHK,,
3/31/2022,Moving,Moving,80,debit,Home Services,Venmo,,
3/31/2022,U-HAUL OF KOREATOWN,U-HAUL OF KOREATOWN,63.94,debit,Home Services,CREDITCARD Account,,
3/31/2022,First Tech FCU   ExtrnlTfr  Bria,First Tech FCU   ExtrnlTfr  Bria,1213.78,credit,Income,TOTAL CHECKING,,
3/31/2022,YOSHINOYA # 251 LOS ANGELES CA,YOSHINOYA # 251 LOS ANGELES CA,11.38,debit,Restaurants,TOTAL CHECKING,,
3/31/2022,APPLECARD GSBANK PAYMENT    5519,APPLECARD GSBANK PAYMENT    5519,25,debit,Credit Card Payment,TOTAL CHECKING,,
3/31/2022,AUTO DRAFT PAYMENT,AUTO DRAFT PAYMENT,115.96,credit,Credit Card Payment,First Premier Bankcard,,
3/31/2022,Credit Dividend,Credit Dividend,0.06,credit,Investments,Dividend Rewards Checking,,
3/31/2022,MONTHLY SERVICE FEE,MONTHLY SERVICE FEE,15,debit,Bank Fee,BUS COMPLETE CHK,,
3/30/2022,Balance,Balance,10,debit,Restaurants,Venmo,,
3/30/2022,SLAUSON GAS,SLAUSON GAS,6.01,debit,Fast Food,CREDITCARD Account,,
3/30/2022,SAMMYS LIQUOR,SAMMYS LIQUOR,9.84,debit,Alcohol & Bars,CREDITCARD Account,,
3/30/2022,Zelle payment from BEATRICE WILL,Zelle payment from BEATRICE WILL,400,credit,Transfer,TOTAL CHECKING,,
3/30/2022,Online Payment 13990796073 To Ge,Online Payment 13990796073 To Ge,126.55,debit,Utilities,TOTAL CHECKING,,
3/30/2022,BOOK TRANSFER CREDIT B/O: GAIN C,BOOK TRANSFER CREDIT B/O: GAIN C,100,credit,Transfer,TOTAL CHECKING,,
3/30/2022,CECY'S MARKET LOS ANGELES CA,CECY'S MARKET LOS ANGELES CA,3.27,debit,Restaurants,TOTAL CHECKING,,
3/30/2022,Interest Charge on Cash Advances,Interest Charge on Cash Advances,0,credit,Finance Charge,First Premier Bankcard,,
3/30/2022,MONTHLY FEE,MONTHLY FEE,10.4,debit,Bank Fee,First Premier Bankcard,,
3/30/2022,Interest Charge on Purchases,Interest Charge on Purchases,0,credit,Finance Charge,First Premier Bankcard,,
3/29/2022,China cabinet,China cabinet,140,credit,Income,Venmo,,
3/29/2022,Moving,Moving,70,debit,Home Services,Venmo,,
3/29/2022,CAPITAL ONE      CRCARDPMT  3LHA,CAPITAL ONE      CRCARDPMT  3LHA,25,debit,Credit Card Payment,TOTAL CHECKING,,
3/29/2022,ATM WITHDRAWAL 009547 03/294401 CREN,ATM WITHDRAWAL,40,debit,Cash & ATM,TOTAL CHECKING,,
3/29/2022,Online Transfer to CHK ...0923 t,Online Transfer to CHK ...0923 t,400,debit,Transfer,TOTAL CHECKING,,
3/29/2022,eBay             PAYOUT     TX14,eBay             PAYOUT     TX14,21.16,credit,Income,TOTAL CHECKING,,
3/29/2022,Zelle payment from BEATRICE WILL,Zelle payment from BEATRICE WILL,800,credit,Transfer,TOTAL CHECKING,,
3/29/2022,Descriptive Withdrawal OLB Exter,Descriptive Withdrawal OLB Exter,1213.78,debit,Transfer,Dividend Rewards Checking,,
3/29/2022,Online Transfer from CHK ...8590,Online Transfer from CHK ...8590,400,credit,Transfer,BUS COMPLETE CHK,,
3/28/2022,SHELL OIL XXXXXXXXXX,SHELL OIL XXXXXXXXXX,5.24,debit,Gas & Fuel,CREDITCARD Account,,
3/28/2022,SHELL OIL XXXXXXXXXX,SHELL OIL XXXXXXXXXX,57.76,debit,Gas & Fuel,CREDITCARD Account,,
3/28/2022,CAPITAL ONE AUTOPAY PYMT AuthDate 28-M ar,CAPITAL ONE AUTOPAY PYMT AuthDate 28-M ar,25,credit,Credit Card Payment,CREDITCARD Account,,
3/28/2022,ARCO #42378 AMPM,ARCO #42378 AMPM,34.13,debit,Gas & Fuel,CREDITCARD Account,,
3/28/2022,HABIT SNTA CLRTA #2Q91,HABIT SNTA CLRTA #2Q91,10.72,debit,Fast Food,CREDITCARD Account,,
3/28/2022,Zelle payment from APRIL HERNAND,Zelle payment from APRIL HERNAND,330,credit,Transfer,TOTAL CHECKING,,
3/28/2022,CASH APP*EDDIE MAJO 8774174551 C,CASH APP*EDDIE MAJO 8774174551 C,225,debit,Transfer,TOTAL CHECKING,,
3/28/2022,Online Payment 13721567030 To US,Online Payment 13721567030 To US,20,debit,Student Loan,TOTAL CHECKING,,
3/28/2022,Truebill         Premium    ST-P,Truebill         Premium    ST-P,3,debit,Clothing,TOTAL CHECKING,,
3/28/2022,Cash App Cutthechec,CASH APP*CUTTHECHEC 8774174551 C,100,debit,Uncategorized,TOTAL CHECKING,,
3/28/2022,ATM WITHDRAWAL 002116 03/285717 S VE,ATM WITHDRAWAL,40,debit,Cash & ATM,TOTAL CHECKING,,
3/28/2022,ACH Debit VENMO   PAYMENT,ACH Debit VENMO   PAYMENT,100,debit,Transfer,Dividend Rewards Checking,,
3/26/2022,Brian Thorne Paid,Brian Thorne Paid Amanuel Yonas,100,debit,Uncategorized,Venmo,,
3/26/2022,LATE FEE,LATE FEE,28,debit,Late Fee,First Premier Bankcard,,
3/25/2022,Becca Maar Paid Small Moves Only,Becca Maar Paid Small Moves Only,70,credit,Income,Venmo,,
3/25/2022,Desk delivery,Desk delivery,75,credit,Income,Venmo,,
3/25/2022,Transfer To JPMORGAN CHASE,Transfer To JPMORGAN CHASE,467.98,debit,Transfer,Venmo,,
3/25/2022,7-ELEVEN LOS ANGELES CA,7-ELEVEN LOS ANGELES CA,3.86,debit,Fast Food,TOTAL CHECKING,,
3/25/2022,REAL TIME TRANSFER RECD FROM ABA,REAL TIME TRANSFER RECD FROM ABA,467.98,credit,Transfer,TOTAL CHECKING,,
3/24/2022,GOOGLE *Ad Hoc Labs,GOOGLE *Ad Hoc Labs,14.99,debit,Restaurants,Visa Business Card,,
3/24/2022,CRAIGSLIST.ORG,CRAIGSLIST.ORG,5,debit,Advertising,Visa Business Card,,
3/24/2022,Google Domains,Google Domains,6,debit,Internet,Visa Business Card,,
3/24/2022,THE HOME DEPOT 1039,THE HOME DEPOT 1039,96.96,debit,Home Improvement,Visa Business Card,,
3/23/2022,Thanks!,Thanks!,85,credit,Income,Venmo,,
3/22/2022,GOOGLE *Google Storage,GOOGLE *Google Storage,1.99,debit,Internet,Visa Business Card,,
3/22/2022,AMZN Mktp US,AMZN Mktp US,21.89,credit,Shopping,CREDITCARD Account,,
3/22/2022,THE HOME DEPOT #1039LOS ANGELES CA D,THE HOME DEPOT #1039LOS ANGELES CA D,5,debit,Home Improvement,First Premier Bankcard,,
3/22/2022,PAINTCRAFT ACE HARDWARLOS ANGELES CA D,PAINTCRAFT ACE HARDWARLOS ANGELES CA D,20.79,debit,Home Improvement,First Premier Bankcard,,
3/22/2022,Ext Credit Card Debit SPOTIFY US,Ext Credit Card Debit SPOTIFY US,9.99,debit,Music,Mastercard Secure,,
3/22/2022,SYNCHRONY MC     PAYMENT    5243,SYNCHRONY MC     PAYMENT    5243,40,debit,Credit Card Payment,TOTAL CHECKING,,
3/22/2022,INSUFFICIENT FUNDS FEE FOR A $40,INSUFFICIENT FUNDS FEE FOR A $40,34,debit,Bank Fee,TOTAL CHECKING,,
3/21/2022,FACEBK PZ7EDDBDK2,FACEBK PZ7EDDBDK2,75,debit,Advertising,Visa Business Card,,
3/21/2022,7-ELEVEN 13699,7-ELEVEN 13699,3.99,debit,Fast Food,Visa Business Card,,
3/21/2022,UBER   EATS,UBER   EATS,22.75,debit,Food Delivery,Visa Business Card,,
3/21/2022,SMART AND FINAL 470,SMART AND FINAL 470,14.26,debit,Groceries,CREDITCARD Account,,
3/21/2022,76 - L S PETROLEUM INC,76 - L S PETROLEUM INC,100.23,debit,Gas & Fuel,CREDITCARD Account,,
3/21/2022,AMZN MKTP US*1N8555961,AMZN MKTP US*1N8555961,89.64,debit,Shopping,CREDITCARD Account,,
3/21/2022,TAKE A BREAK TRAVEL INLAS VEGAS NV D,TAKE A BREAK TRAVEL INLAS VEGAS NV D,50,debit,Travel,First Premier Bankcard,,
3/19/2022,GOOGLE *Intuit Inc,GOOGLE *Intuit Inc,14.99,debit,Electronics & Software,Visa Business Card,,
3/19/2022,UBER   EATS,UBER   EATS,15.44,debit,Food Delivery,Visa Business Card,,
3/19/2022,LUXOR FRONT DESK,LUXOR FRONT DESK,39.68,debit,Hotel,Visa Business Card,,
3/19/2022,SHELL OIL 10006144009FONTANA CA D,SHELL OIL 10006144009FONTANA CA D,67.14,debit,Gas & Fuel,First Premier Bankcard,,
3/19/2022,SHELL OIL 574257837QPSLAS VEGAS NV D,SHELL OIL 574257837QPSLAS VEGAS NV D,99.65,debit,Gas & Fuel,First Premier Bankcard,,
3/19/2022,BONANZA GIFT SHOPLAS VEGAS NV D,BONANZA GIFT SHOPLAS VEGAS NV D,58.5,debit,Gift,First Premier Bankcard,,
3/19/2022,Ext Credit Card Debit Interest C,Ext Credit Card Debit Interest C,42.48,debit,Finance Charge,Mastercard Secure,,
3/19/2022,Ext Credit Card Debit Interest C,Ext Credit Card Debit Interest C,11.64,debit,Finance Charge,Mastercard Secure,,
3/18/2022,INTEREST CHARGE ON PURCHASES,INTEREST CHARGE ON PURCHASES,35.75,debit,Finance Charge,Merrick Bank Credit Card,,
3/18/2022,CRAIGSLIST.ORG,CRAIGSLIST.ORG,5,debit,Advertising,Visa Business Card,,
3/18/2022,Zelle payment from AMANUEL YONAS,Zelle payment from AMANUEL YONAS,150,credit,Transfer,TOTAL CHECKING,,
3/17/2022,CRAIGSLIST.ORG,CRAIGSLIST.ORG,5,debit,Advertising,Visa Business Card,,
3/17/2022,ACH Deposit Roadie Payout   Road,ACH Deposit Roadie Payout   Road,0.83,credit,Transfer,Dividend Rewards Checking,,
3/16/2022,Transfer from Bank Account,Transfer from Bank Account,13.58,credit,Transfer,PayPal Account,,
3/16/2022,Ionos,Payment to 1&1 IONOS Inc.,15.17,debit,Uncategorized,PayPal Account,,
3/16/2022,PRIMERICA LIFE   INS. PREM,PRIMERICA LIFE   INS. PREM,97.63,debit,Life Insurance,TOTAL CHECKING,,
3/16/2022,PAYPAL           INST XFER  1AND,PAYPAL           INST XFER  1AND,13.58,debit,Business Services,TOTAL CHECKING,,
3/16/2022,INSUFFICIENT FUNDS FEE FOR A $13,INSUFFICIENT FUNDS FEE FOR A $13,34,debit,Bank Fee,TOTAL CHECKING,,
3/16/2022,INSUFFICIENT FUNDS FEE FOR A $97,INSUFFICIENT FUNDS FEE FOR A $97,34,debit,Bank Fee,TOTAL CHECKING,,
3/15/2022,HOTELSCOMXXXXXXXXXX,HOTELSCOMXXXXXXXXXX,20.23,debit,Hotel,Visa Business Card,,
3/15/2022,ATM Fee,NON-CHASE ATM WITHDRAW,3.5,debit,ATM Fee,TOTAL CHECKING,,
3/15/2022,NON-CHASE ATM WITHDRAW,NON-CHASE ATM WITHDRAW,40,debit,Cash & ATM,TOTAL CHECKING,,
3/15/2022,CASH APP*KATHY 877-417-4551 CA,CASH APP*KATHY 877-417-4551 CA,150,debit,Transfer,TOTAL CHECKING,,
3/15/2022,Cash App*Cash Out VISA DIRECT CA,Cash App*Cash Out VISA DIRECT CA,42.29,credit,Income,TOTAL CHECKING,,
3/15/2022,NON-CHASE ATM FEE-WITH,NON-CHASE ATM FEE-WITH,2.5,debit,ATM Fee,TOTAL CHECKING,,
3/14/2022,GOOGLE*DOMAINS,GOOGLE*DOMAINS,12,debit,Internet,Visa Business Card,,
3/14/2022,Amazon Prime*1Z9CS8XC0,Amazon Prime*1Z9CS8XC0,14.22,debit,Shopping,CREDITCARD Account,,
3/14/2022,IMPERIAL TIRE SERVICELOS ANGELES CA D,IMPERIAL TIRE SERVICELOS ANGELES CA D,240,credit,Credit Card Payment,First Premier Bankcard,,
3/14/2022,IMPERIAL TIRE SERVICELOS ANGELES CA D,IMPERIAL TIRE SERVICELOS ANGELES CA D,303,debit,Service & Parts,First Premier Bankcard,,
3/14/2022,IMPERIAL TIRE SERVICELOS ANGELES CA D,IMPERIAL TIRE SERVICELOS ANGELES CA D,60,credit,Credit Card Payment,First Premier Bankcard,,
3/14/2022,IMPERIAL TIRE SERVICE LOS ANGELE,IMPERIAL TIRE SERVICE LOS ANGELE,447,debit,Service & Parts,TOTAL CHECKING,,
3/14/2022,AUTOZONE  5437 648 W C LOS ANGEL,AUTOZONE  5437 648 W C LOS ANGEL,34.47,debit,Service & Parts,TOTAL CHECKING,,
3/14/2022,Jasper Jspayment,Jasper           JSPayment  1500,14.93,debit,Uncategorized,TOTAL CHECKING,,
3/13/2022,SMART AND FINAL 470LOS ANGELES CA D,SMART AND FINAL 470LOS ANGELES CA D,63.12,debit,Groceries,First Premier Bankcard,,
3/12/2022,Recurring Icons Llc,Recurring payment to Icons8 LLC,13,debit,Uncategorized,PayPal Account,,
3/12/2022,Recurring payment from Icons8 LLC,Recurring payment from Icons8 LLC,0,credit,Misc Expenses,PayPal Account,,
3/12/2022,AMZN Mktp US*1W5RH17X2,AMZN Mktp US*1W5RH17X2,27.91,debit,Shopping,CREDITCARD Account,,
3/12/2022,AMZN Mktp US,AMZN Mktp US,65.67,credit,Shopping,CREDITCARD Account,,
3/12/2022,AMZN Mktp US,AMZN Mktp US,61.54,credit,Shopping,CREDITCARD Account,,
3/12/2022,AMZN Mktp US,AMZN Mktp US,87.56,credit,Shopping,CREDITCARD Account,,
3/12/2022,SMART AND FINAL 444LOS ANGELES CA D,SMART AND FINAL 444LOS ANGELES CA D,138.46,debit,Groceries,First Premier Bankcard,,
3/12/2022,SMART AND FINAL 444LOS ANGELES CA D,SMART AND FINAL 444LOS ANGELES CA D,71.9,debit,Groceries,First Premier Bankcard,,
3/11/2022,Cash App Cutthechec,CASH APP*CUTTHECHEC 8774174551 C,50,debit,Uncategorized,TOTAL CHECKING,,
3/11/2022,Cash App Jeffrey,CASH APP*JEFFREY GO 8774174551 C,30,debit,Uncategorized,TOTAL CHECKING,,
3/10/2022,INTEREST CHARGE ON PURCHASES; ,INTEREST CHARGE ON PURCHASES; ,9.7,debit,Finance Charge,OpenSky Secured Card ending in 4855,,
3/10/2022,2 chaises from Burbank to Los Feliz,2 chaises from Burbank to Los Feliz,120,credit,Income,Venmo,,
3/10/2022,CRAIGSLIST.ORG,CRAIGSLIST.ORG,5,debit,Advertising,Visa Business Card,,
3/10/2022,Infinity Insurance,ORIG CO NAME:Infinity Insuran,197.93,debit,Financial,BUS COMPLETE CHK,,
3/10/2022,NEXT INS. - GL WWW.NEXTINSUR CA 03/10,NEXT INS. - GL WWW.NEXTINSUR CA,42.92,debit,Mobile Phone,BUS COMPLETE CHK,,
3/10/2022,NEXT INS. - IM WWW.NEXTINSUR CA 03/10,NEXT INS. - IM WWW.NEXTINSUR CA,37.25,debit,Home Insurance,BUS COMPLETE CHK,,
3/10/2022,INSUFFICIENT FUNDS FEE FOR A $42 .92 RECURRING CARD PURCHASE - DETAILS: 0310NEXT INS. - GL WWW.NEXTI,INSUFFICIENT FUNDS FEE FOR A $42,34,debit,Bank Fee,BUS COMPLETE CHK,,
3/10/2022,INSUFFICIENT FUNDS FEE FOR A $19 7.93 ITEM - DETAILS: ORIG CO NAME:Infinity Insuran ORIG ID:43109438,INSUFFICIENT FUNDS FEE FOR A $19,34,debit,Bank Fee,BUS COMPLETE CHK,,
3/10/2022,7-Eleven,7-ELEVEN LOS ANGELES CA,11.41,debit,Fast Food,TOTAL CHECKING,,
3/10/2022,7-Eleven,7-ELEVEN LOS ANGELES CA,1.29,debit,Fast Food,TOTAL CHECKING,,
3/10/2022,Ext Credit Card Debit GOOGLEDOMA,Ext Credit Card Debit GOOGLEDOMA,24,debit,Internet,Mastercard Secure,,
03/09/2022,PAYMENT - THANK YOU; ,PAYMENT - THANK YOU; ,25,credit,Credit Card Payment,OpenSky Secured Card ending in 4855,,
03/09/2022,AMZN Mktp US*1Z2VT7TT1,AMZN Mktp US*1Z2VT7TT1,131.39,debit,Shopping,CREDITCARD Account,,
03/09/2022,NATIONAL GENERAL PAYMENT,NATIONAL GENERAL PAYMENT,138.03,debit,Auto Insurance,TOTAL CHECKING,,
03/09/2022,ATM CHECK DEPOSIT 03/09 3738 CRE,ATM CHECK DEPOSIT 03/09 3738 CRE,504.89,credit,Transfer,TOTAL CHECKING,,
03/09/2022,Ext Credit Card Credit PAYMENT,Ext Credit Card Credit PAYMENT,25,credit,Credit Card Payment,Mastercard Secure,,
03/08/2022,Desk,Desk,80,credit,Income,Venmo,,
03/08/2022,Cute little sofa ,Cute little sofa ,40,credit,Income,Venmo,,
03/08/2022,ACH Debit SO CAL GAS   PAID SCGC,ACH Debit SO CAL GAS   PAID SCGC,113.63,debit,Utilities,Dividend Rewards Checking,,
03/08/2022,ELECTRONIC PAYMENT,ELECTRONIC PAYMENT,15,credit,Credit Card Payment,Visa Business Card,,
03/07/2022,To CR EDIT ONE BANK 03/07,Online Payment 13616013416 To CR,25,debit,Credit Card Payment,TOTAL CHECKING,,
03/07/2022,To FI RST PROGRESS 03/07,Online Payment 13616014071 To FI,25,debit,Credit Card Payment,TOTAL CHECKING,,
03/07/2022,Credit Union,Online Payment 13616013412 To Fi,25,debit,Financial,TOTAL CHECKING,,
03/07/2022,To CA PITAL ONE 03/07,Online Payment 13616013431 To CA,15,debit,Credit Card Payment,TOTAL CHECKING,,
